Export Channel Data with rate of 256 samples per second.

"Client: ProCompInf, Biofeedback"	"Channel Set: PI Physiology EKG & BVP.chs"
Session Date: 2021/03/22		Session Time: 15:49:12
Start Time: 00:00:00.000		End Time: 00:09:18.875

B: BVP,Event
2048, 
0.004, 
0.063, 
0.288, 
0.807, 
1.730, 
3.130, 
5.035, 
7.426, 
10.242, 
13.394, 
16.769, 
20.246, 
23.701, 
27.018, 
30.097, 
32.856, 
35.235, 
37.201, 
38.738, 
39.853, 
40.571, 
40.929, 
40.974, 
40.761, 
40.350, 
39.798, 
39.161, 
38.488, 
37.823, 
37.200, 
36.646, 
36.180, 
35.811, 
35.540, 
35.364, 
35.275, 
35.262, 
35.309, 
35.402, 
35.524, 
35.661, 
35.800, 
35.932, 
36.048, 
36.143, 
36.216, 
36.264, 
36.287, 
36.289, 
36.272, 
36.240, 
36.199, 
36.152, 
36.103, 
36.053, 
36.006, 
35.963, 
35.927, 
35.898, 
35.877, 
35.864, 
35.857, 
35.858, 
35.864, 
35.873, 
35.886, 
35.900, 
35.915, 
35.930, 
35.944, 
35.956, 
35.965, 
35.970, 
35.971, 
35.968, 
35.962, 
35.955, 
35.947, 
35.939, 
35.933, 
35.928, 
35.921, 
35.913, 
35.901, 
35.884, 
35.864, 
35.841, 
35.816, 
35.792, 
35.768, 
35.746, 
35.725, 
35.707, 
35.693, 
35.682, 
35.677, 
35.675, 
35.678, 
35.683, 
35.691, 
35.698, 
35.705, 
35.710, 
35.712, 
35.711, 
35.707, 
35.700, 
35.690, 
35.679, 
35.665, 
35.648, 
35.627, 
35.603, 
35.576, 
35.547, 
35.516, 
35.486, 
35.456, 
35.431, 
35.412, 
35.400, 
35.399, 
35.413, 
35.444, 
35.496, 
35.573, 
35.675, 
35.804, 
35.962, 
36.147, 
36.356, 
36.588, 
36.837, 
37.101, 
37.373, 
37.647, 
37.919, 
38.182, 
38.430, 
38.661, 
38.869, 
39.051, 
39.205, 
39.326, 
39.415, 
39.472, 
39.500, 
39.499, 
39.472, 
39.423, 
39.354, 
39.268, 
39.167, 
39.057, 
38.939, 
38.818, 
38.696, 
38.575, 
38.456, 
38.341, 
38.231, 
38.124, 
38.021, 
37.923, 
37.827, 
37.734, 
37.643, 
37.554, 
37.468, 
37.386, 
37.309, 
37.237, 
37.170, 
37.108, 
37.051, 
36.998, 
36.950, 
36.906, 
36.864, 
36.823, 
36.782, 
36.741, 
36.701, 
36.660, 
36.621, 
36.584, 
36.549, 
36.516, 
36.487, 
36.461, 
36.440, 
36.426, 
