Export Channel Data with rate of 256 samples per second.

"Client: ProCompInf, Biofeedback"	"Channel Set: PI Physiology BVP.chs"
Session Date: 2021/03/19		Session Time: 15:52:36
Start Time: 00:00:00.000		End Time: 00:09:20.688

B: BVP,Event
2048, 
0.004, 
0.060, 
0.275, 
0.773, 
1.658, 
3.003, 
4.832, 
7.130, 
9.840, 
12.877, 
16.132, 
19.490, 
22.834, 
26.051, 
29.046, 
31.740, 
34.075, 
36.016, 
37.549, 
38.679, 
39.428, 
39.833, 
39.939, 
39.798, 
39.465, 
38.994, 
38.438, 
37.842, 
37.248, 
36.688, 
36.187, 
35.762, 
35.423, 
35.172, 
35.008, 
34.923, 
34.909, 
34.951, 
35.038, 
35.156, 
35.292, 
35.435, 
35.574, 
35.703, 
35.816, 
35.909, 
35.979, 
36.027, 
36.052, 
36.057, 
36.045, 
36.018, 
35.980, 
35.934, 
35.883, 
35.830, 
35.777, 
35.727, 
35.681, 
35.641, 
35.607, 
35.579, 
35.558, 
35.543, 
35.534, 
35.530, 
35.530, 
35.533, 
35.537, 
35.541, 
35.545, 
35.549, 
35.552, 
35.554, 
35.554, 
35.554, 
35.551, 
35.547, 
35.542, 
35.535, 
35.526, 
35.517, 
35.507, 
35.496, 
35.486, 
35.477, 
35.469, 
35.463, 
35.459, 
35.457, 
35.457, 
35.458, 
35.461, 
35.465, 
35.471, 
35.477, 
35.482, 
35.487, 
35.490, 
35.491, 
35.490, 
35.487, 
35.483, 
35.478, 
35.473, 
35.467, 
35.461, 
35.456, 
35.450, 
35.445, 
35.439, 
35.433, 
35.427, 
35.421, 
35.416, 
35.411, 
35.406, 
35.401, 
35.396, 
35.391, 
35.386, 
35.382, 
35.379, 
35.377, 
35.375, 
35.373, 
35.373, 
35.374, 
35.375, 
35.376, 
35.378, 
35.380, 
35.381, 
35.382, 
35.383, 
35.384, 
35.383, 
35.382, 
35.379, 
35.376, 
35.373, 
35.369, 
35.367, 
35.367, 
35.370, 
35.377, 
35.389, 
35.407, 
35.432, 
35.465, 
35.505, 
35.555, 
35.615, 
35.683, 
35.761, 
35.846, 
35.939, 
36.037, 
36.139, 
36.243, 
36.347, 
36.448, 
36.543, 
36.632, 
36.711, 
36.780, 
36.838, 
36.884, 
36.917, 
36.938, 
36.946, 
36.943, 
36.929, 
36.904, 
36.869, 
36.825, 
36.774, 
36.717, 
36.657, 
36.595, 
36.532, 
36.470, 
36.410, 
36.353, 
36.299, 
36.249, 
36.203, 
36.162, 
36.126, 
36.095, 
36.069, 
36.048, 
36.031, 
36.020, 
36.011, 
36.006, 
36.003, 
36.002, 
36.003, 
36.004, 
36.007, 
36.009, 
36.012, 
36.014, 
36.016, 
36.018, 
36.020, 
36.021, 
36.021, 
36.021, 
36.021, 
36.019, 
36.017, 
36.013, 
36.009, 
36.005, 
36.000, 
35.997, 
35.994, 
35.992, 
35.991, 
35.992, 
35.995, 
36.000, 
36.005, 
36.012, 
36.020, 
36.029, 
36.038, 
36.047, 
36.056, 
36.064, 
36.071, 
36.078, 
36.085, 
36.091, 
36.098, 
36.105, 
36.113, 
36.120, 
36.127, 
36.134, 
36.141, 
36.146, 
36.151, 
36.153, 
36.153, 
36.151, 
36.146, 
36.138, 
36.128, 
36.115, 
36.100, 
36.084, 
36.066, 
36.048, 
36.029, 
36.010, 
35.991, 
35.971, 
35.952, 
35.933, 
35.916, 
35.900, 
35.885, 
35.873, 
35.864, 
35.856, 
35.851, 
35.847, 
35.846, 
35.846, 
35.846, 
35.848, 
35.850, 
35.851, 
35.853, 
35.853, 
35.852, 
35.850, 
35.846, 
35.839, 
35.831, 
35.821, 
35.810, 
35.798, 
35.784, 
35.770, 
35.756, 
35.742, 
35.729, 
35.717, 
35.707, 
35.699, 
35.695, 
35.696, 
35.701, 
35.713, 
35.730, 
35.753, 
35.780, 
35.811, 
35.844, 
35.876, 
35.908, 
35.936, 
35.958, 
35.975, 
35.983, 
35.983, 
35.974, 
35.957, 
35.932, 
35.902, 
35.866, 
35.827, 
35.787, 
35.748, 
35.711, 
35.677, 
35.649, 
35.626, 
35.608, 
35.597, 
35.592, 
35.593, 
35.599, 
35.608, 
35.620, 
35.633, 
35.645, 
35.657, 
35.666, 
35.671, 
